key,russian

qc_StraysDesc,"В этом месте стая бездомных собак терроризирует выживших."
challenge_Strays,"Бродячие"
challenge_Strays_offer,"Дорогой выживший, \n Да, я понимаю, они милые и раньше были лучшими друзьями человека. Ты знаешь, что тебе нужно делать. \n Удачи, Сумасшедший Джейк."
challenge_Strays_subtitle,"Гав гав?"
challenge_Strays_completion,"Готово ... Вот некоторые вещи, которые я нашел некоторое время назад. \nВозьми это."
qc_FoolsGoldDesc,"Ходят слухи о большом сокровище в этом месте."
challenge_FoolsGold,"Золото дураков"
challenge_FoolsGold_offer,"Дорогой выживший, \nНе знаю, надежен ли источник, из которого я получил это. Просто имейте в виду, что это был один из парней Герцогов. \n\n Удачи, Сумасшедший Джейк."
challenge_FoolsGold_subtitle,"Это шутка?"
challenge_FoolsGold_completion,"Хорошо... Вот некоторые вещи, которые я нашел некоторое время назад. \nВозьми это."
takeandreplace,"Сорвать "
musicbox_turnOn,"Включить"
musicbox_turnOff,"Выключить"
bookArtOfMiningAvalanche,"Шахтерское ремесло, том 6"
bookArtOfMiningBlackStrap,"Шахтерское ремесло, том 4"
bookArtOfMiningCoffee,"Шахтерское ремесло, том 3"
bookArtOfMiningDiamondTools,"Шахтерское ремесло, том 2"
bookArtOfMiningLantern,"Шахтерское ремесло, том 7"
bookArtOfMiningLuckyStrike,"Шахтерское ремесло, том 1"
bookArtOfMiningPallets,"Шахтерское ремесло, том 5"
bookAutoWeaponsDamage,"Руководство по автоматическому оружию, том 1"
bookAutoWeaponsDrumMag,"Руководство по автоматическому оружию, том 4"
bookAutoWeaponsMachineGuns,"Руководство по автоматическому оружию, том 7"
bookAutoWeaponsMaintenance,"Руководство по автоматическому оружию, том 3"
bookAutoWeaponsRagdoll,"Руководство по автоматическому оружию, том 6"
bookAutoWeaponsRecoil,"Руководство по автоматическому оружию, том 5"
bookAutoWeaponsUncontrolledBurst,"Руководство по автоматическому оружию, том 2"
bookBarBrawling1BasicMoves,"Драка в баре, том 1"
bookBarBrawling2DropABomb,"Драка в баре, том 2"
bookBarBrawling3KillerInstinct,"Драка в баре, том 3"
bookBarBrawling4FinishingMoves,"Драка в баре, том 4"
bookBarBrawling5AdrenalineHealing,"Драка в баре, том 5"
bookBarBrawling6RageMode,"Драка в баре, том 6"
bookBarBrawling7BoozedUp,"Драка в баре, том 7"
bookBatterUpBaseballBats,"Отбивающий, на поле! том 6"
bookBatterUpBigHits,"Отбивающий, на поле! том 1"
bookBatterUpGear,"Отбивающий, на поле! том 2"
bookBatterUpKnockdown,"Отбивающий, на поле! том 4"
bookBatterUpMaintenance,"Отбивающий, на поле! том 5"
bookBatterUpMetalChain,"Отбивающий, на поле! том 7"
bookBatterUpSlowPitch,"Отбивающий, на поле! том 3"
bookEnforcerAPAmmo,"Магнум – блюститель закона, том 5"
bookEnforcerApparel,"Магнум – блюститель закона, том 2"
bookEnforcerCriminalPursuit,"Магнум – блюститель закона, том 7"
bookEnforcerDamage,"Магнум – блюститель закона, том 1"
bookEnforcerHPAmmo,"Магнум – блюститель закона, том 6"
bookEnforcerIntimidation,"Магнум – блюститель закона, том 4"
bookEnforcerPunks,"Магнум – блюститель закона, том 3"
bookFiremansAlmanacAxes,"Альманах пожарного, том 2"
bookFiremansAlmanacEquipment,"Альманах пожарного, том 7"
bookFiremansAlmanacHarvest,"Альманах пожарного, том 6"
bookFiremansAlmanacHeat,"Альманах пожарного, том 1"
bookFiremansAlmanacMolotov,"Альманах пожарного, том 4"
bookFiremansAlmanacPrevention,"Альманах пожарного, том 5"
bookFiremansAlmanacSpeed,"Альманах пожарного, том 3"
bookGreatHeistAdrenalineFall,"Великое ограбление, том 5"
bookGreatHeistClaimed,"Великое ограбление, том 4"
bookGreatHeistGems,"Великое ограбление, том 2"
bookGreatHeistMotionDetection,"Великое ограбление, том 7"
bookGreatHeistSafes,"Великое ограбление, том 1"
bookGreatHeistSprintSneak,"Великое ограбление, том 6"
bookGreatHeistTimedCharge,"Великое ограбление, том 3"
bookHuntingJournalBears,"Дневник охотника, том 1"
bookHuntingJournalCoyotes,"Дневник охотника, том 3"
bookHuntingJournalDeer,"Дневник охотника, том 5"
bookHuntingJournalMountainLions,"Дневник охотника, том 4"
bookHuntingJournalSelfDefense,"Дневник охотника, том 7"
bookHuntingJournalVultures,"Дневник охотника, том 6"
bookHuntingJournalWolves,"Дневник охотника, том 2"
bookLuckyLooterAmmunition,"Везучий искатель, том 2"
bookLuckyLooterBooks,"Везучий искатель, том 5"
bookLuckyLooterBrass,"Везучий искатель, том 3"
